type,group,role,shape_general,shape,place,date_earliest,date_latest
greek_pelike_iron_age_-350BCE_74,pelike_greek,test,pelike,pelike_NA,greek,-400.0,-300.0
greek_italiote_pelike_iron_age_-350BCE_204,pelike_ital,test,pelike,pelike_NA,greek_italiote,-400.0,-300.0
greek_italiote_pelike_iron_age_-350BCE_202,pelike_ital,test,pelike,pelike_NA,greek_italiote,-400.0,-300.0
greek_pelike_iron_age_-450BCE_40,pelike_greek,test,pelike,pelike_NA,greek,-450.0,-400.0
greek_pelike_iron_age_-350BCE_76,pelike_greek,test,pelike,pelike_NA,greek,-400.0,-300.0
greek_pelike_iron_age_-550BCE_188,pelike_greek,test,pelike,pelike_NA,greek,-550.0,-500.0
greek_pelike_iron_age_-500BCE_52,pelike_greek,test,pelike,pelike_NA,greek,-525.0,-475.0
greek_pelike_iron_age_-400BCE_139,pelike_greek,test,pelike,pelike_NA,greek,-425.0,-375.0
greek_pelike_iron_age_-500BCE_56,pelike_greek,test,pelike,pelike_NA,greek,-525.0,-475.0
greek_pelike_iron_age_-350BCE_72,pelike_greek,test,pelike,pelike_NA,greek,-400.0,-300.0
greek_italiote_pelike_iron_age_-350BCE_200,pelike_ital,test,pelike,pelike_NA,greek_italiote,-400.0,-300.0
greek_italiote_pelike_iron_age_-400BCE_47,pelike_ital,test,pelike,pelike_NA,greek_italiote,-420.0,-300.0
greek_italiote_pelike_hellenistic_age_-350BCE_112,pelike_ital,test,pelike,pelike_NA,greek_italiote,-350.0,-300.0
greek_italiote_pelike_hellenistic_age_-300BCE_257,pelike_ital,test,pelike,pelike_NA,greek_italiote,-375.0,-175.0
greek_italiote_pelike_iron_age_-400BCE_50,pelike_ital,test,pelike,pelike_NA,greek_italiote,-420.0,-300.0
greek_italiote_pelike_iron_age_-400BCE_42,pelike_ital,test,pelike,pelike_NA,greek_italiote,-420.0,-300.0
greek_italiote_pelike_hellenistic_age_-300BCE_256,pelike_ital,test,pelike,pelike_NA,greek_italiote,-375.0,-175.0
greek_italiote_pelike_hellenistic_age_-350BCE_111,pelike_ital,test,pelike,pelike_NA,greek_italiote,-360.0,-270.0
greek_amphora_iron_age_-1000BCE_155,outgroup,outgroup,amphora,amphora_neck,greek,-1030.0,-900.0
greek_amphora_iron_age_-1050BCE_277,outgroup,outgroup,amphora,amphora_neck,greek,-1030.0,-1000.0
greek_amphora_iron_age_-1000BCE_152,outgroup,outgroup,amphora,amphora_neck,greek,-1040.0,-900.0
