type,group,role,shape_general,shape,place,date_earliest,date_latest
greek_italiote_pelike_hellenistic_age_-350BCE_118,pelike_ital,test,pelike,pelike_NA,greek_italiote,-360.0,-270.0
greek_italiote_pelike_hellenistic_age_-350BCE_119,pelike_ital,test,pelike,pelike_NA,greek_italiote,-360.0,-270.0
greek_italiote_pelike_hellenistic_age_-350BCE_120,pelike_ital,test,pelike,pelike_NA,greek_italiote,-360.0,-270.0
greek_amphora_iron_age_-750BCE_121,amphora_other_greek,test,amphora,amphora_NA,greek,-725.0,-700.0
greek_amphora_iron_age_-750BCE_122,neck_greek,test,amphora,amphora_neck,greek,-750.0,-700.0
greek_amphora_iron_age_-750BCE_123,amphora_other_greek,test,amphora,amphora_NA,greek,-725.0,-700.0
greek_amphora_iron_age_-750BCE_124,amphora_other_greek,test,amphora,amphora_NA,greek,-725.0,-700.0
greek_amphora_iron_age_-750BCE_125,neck_greek,test,amphora,amphora_neck,greek,-730.0,-720.0
greek_amphora_iron_age_-750BCE_126,neck_greek,test,amphora,amphora_neck,greek,-750.0,-712.5
greek_amphora_iron_age_-750BCE_127,neck_greek,test,amphora,amphora_neck,greek,-750.0,-700.0
greek_amphora_iron_age_-750BCE_128,neck_greek,test,amphora,amphora_neck,greek,-722.5,-700.0
greek_amphora_iron_age_-750BCE_129,belly_greek,test,amphora,amphora_belly,greek,-725.0,-701.0
greek_amphora_iron_age_-750BCE_130,amphora_other_greek,test,amphora,amphora_sos,greek,-750.0,-700.0
greek_pelike_iron_age_-400BCE_131,pelike_greek,test,pelike,pelike_NA,greek,-425.0,-375.0
greek_pelike_iron_age_-400BCE_132,pelike_greek,test,pelike,pelike_NA,greek,-425.0,-375.0
greek_pelike_iron_age_-400BCE_133,pelike_greek,test,pelike,pelike_NA,greek,-425.0,-375.0
greek_pelike_iron_age_-400BCE_134,pelike_greek,test,pelike,pelike_NA,greek,-425.0,-375.0
greek_pelike_iron_age_-400BCE_135,pelike_greek,test,pelike,pelike_NA,greek,-425.0,-375.0
greek_pelike_iron_age_-400BCE_136,pelike_greek,test,pelike,pelike_NA,greek,-425.0,-375.0
greek_pelike_iron_age_-400BCE_137,pelike_greek,test,pelike,pelike_NA,greek,-425.0,-375.0
greek_pelike_iron_age_-400BCE_138,pelike_greek,test,pelike,pelike_NA,greek,-425.0,-375.0
greek_pelike_iron_age_-400BCE_139,pelike_greek,test,pelike,pelike_NA,greek,-425.0,-375.0
greek_amphora_iron_age_-350BCE_140,neck_greek,test,amphora,amphora_neck,greek,-400.0,-300.0
greek_amphora_iron_age_-350BCE_141,panathenaic_greek,test,amphora,amphora_panathenaic,greek,-400.0,-300.0
greek_amphora_iron_age_-350BCE_142,panathenaic_greek,test,amphora,amphora_panathenaic,greek,-400.0,-300.0
greek_amphora_iron_age_-350BCE_143,panathenaic_greek,test,amphora,amphora_panathenaic,greek,-400.0,-300.0
greek_amphora_iron_age_-350BCE_144,panathenaic_greek,test,amphora,amphora_panathenaic,greek,-400.0,-300.0
greek_amphora_iron_age_-350BCE_145,panathenaic_greek,test,amphora,amphora_panathenaic,greek,-400.0,-300.0
greek_amphora_iron_age_-350BCE_146,panathenaic_greek,test,amphora,amphora_panathenaic,greek,-400.0,-300.0
greek_amphora_iron_age_-350BCE_147,belly_greek,test,amphora,amphora_belly,greek,-400.0,-250.0
greek_amphora_iron_age_-350BCE_148,amphora_other_greek,test,amphora,amphora_NA,greek,-350.0,-290.0
greek_amphora_iron_age_-1000BCE_149,neck_greek,test,amphora,amphora_neck,greek,-1040.0,-900.0
greek_amphora_iron_age_-1000BCE_150,neck_greek,test,amphora,amphora_neck,greek,-1030.0,-900.0
greek_amphora_iron_age_-1000BCE_151,neck_greek,test,amphora,amphora_neck,greek,-1030.0,-900.0
greek_amphora_iron_age_-1000BCE_152,neck_greek,test,amphora,amphora_neck,greek,-1040.0,-900.0
greek_amphora_iron_age_-1000BCE_153,neck_greek,test,amphora,amphora_neck,greek,-1030.0,-900.0
greek_amphora_iron_age_-1000BCE_154,neck_greek,test,amphora,amphora_neck,greek,-1050.0,-900.0
greek_amphora_iron_age_-1000BCE_155,neck_greek,test,amphora,amphora_neck,greek,-1030.0,-900.0
greek_loutrophoros_iron_age_-450BCE_156,loutrophoros_greek,test,loutrophoros,loutrophoros_NA,greek,-462.5,-412.5
greek_loutrophoros_iron_age_-450BCE_157,loutrophoros_greek,test,loutrophoros,loutrophoros_NA,greek,-450.0,-400.0
greek_loutrophoros_iron_age_-450BCE_158,loutrophoros_greek,test,loutrophoros,loutrophoros_NA,greek,-450.0,-400.0
greek_loutrophoros_iron_age_-450BCE_159,loutrophoros_greek,test,loutrophoros,loutrophoros_NA,greek,-450.0,-400.0
greek_loutrophoros_iron_age_-450BCE_160,loutrophoros_greek,test,loutrophoros,loutrophoros_NA,greek,-475.0,-425.0
greek_loutrophoros_iron_age_-450BCE_161,loutrophoros_greek,test,loutrophoros,loutrophoros_NA,greek,-475.0,-425.0
greek_loutrophoros_iron_age_-450BCE_162,loutrophoros_greek,test,loutrophoros,loutrophoros_NA,greek,-462.5,-412.5
greek_loutrophoros_iron_age_-450BCE_163,loutrophoros_greek,test,loutrophoros,loutrophoros_NA,greek,-450.0,-400.0
greek_loutrophoros_iron_age_-450BCE_164,loutrophoros_greek,test,loutrophoros,loutrophoros_NA,greek,-475.0,-425.0
greek_amphora_iron_age_-650BCE_165,neck_greek,test,amphora,amphora_neck,greek,-700.0,-600.0
greek_amphora_iron_age_-650BCE_166,belly_greek,test,amphora,amphora_belly,greek,-700.0,-600.0
greek_amphora_iron_age_-650BCE_167,amphora_other_greek,test,amphora,amphora_storage,greek,-650.0,-625.0
greek_amphora_iron_age_-650BCE_168,neck_greek,test,amphora,amphora_neck,greek,-700.0,-600.0
greek_amphora_iron_age_-650BCE_169,neck_greek,test,amphora,amphora_neck,greek,-700.0,-600.0
greek_amphora_iron_age_-650BCE_170,neck_greek,test,amphora,amphora_neck,greek,-700.0,-600.0
greek_amphora_iron_age_-650BCE_171,amphora_other_greek,test,amphora,amphora_kados,greek,-650.0,-625.0
greek_amphora_iron_age_-650BCE_172,neck_greek,test,amphora,amphora_neck,greek,-675.0,-612.5
greek_amphora_iron_age_-650BCE_173,amphora_other_greek,test,amphora,amphora_NA,greek,-700.0,-600.0
greek_italiote_amphora_iron_age_-550BCE_174,belly_ital,test,amphora,amphora_belly,greek_italiote,-550.0,-525.0
greek_italiote_amphora_iron_age_-550BCE_175,neck_ital,test,amphora,amphora_neck,greek_italiote,-575.0,-500.0
greek_italiote_amphora_iron_age_-550BCE_176,neck_ital,test,amphora,amphora_neck,greek_italiote,-575.0,-500.0
greek_italiote_amphora_iron_age_-550BCE_177,neck_ital,test,amphora,amphora_neck,greek_italiote,-575.0,-500.0
greek_italiote_amphora_iron_age_-550BCE_178,belly_ital,test,amphora,amphora_belly,greek_italiote,-575.0,-500.0
greek_italiote_amphora_iron_age_-550BCE_179,belly_ital,test,amphora,amphora_belly,greek_italiote,-530.0,-520.0
greek_italiote_amphora_iron_age_-550BCE_180,neck_ital,test,amphora,amphora_neck,greek_italiote,-562.5,-500.0
greek_italiote_amphora_iron_age_-550BCE_181,neck_ital,test,amphora,amphora_neck,greek_italiote,-575.0,-500.0
greek_pelike_iron_age_-550BCE_182,pelike_greek,test,pelike,pelike_NA,greek,-550.0,-500.0
greek_pelike_iron_age_-550BCE_183,pelike_greek,test,pelike,pelike_NA,greek,-550.0,-500.0
greek_pelike_iron_age_-550BCE_184,pelike_greek,test,pelike,pelike_NA,greek,-550.0,-500.0
greek_pelike_iron_age_-550BCE_185,pelike_greek,test,pelike,pelike_NA,greek,-550.0,-500.0
greek_pelike_iron_age_-550BCE_186,pelike_greek,test,pelike,pelike_NA,greek,-550.0,-500.0
greek_pelike_iron_age_-550BCE_187,pelike_greek,test,pelike,pelike_NA,greek,-550.0,-500.0
greek_pelike_iron_age_-550BCE_188,pelike_greek,test,pelike,pelike_NA,greek,-550.0,-500.0
greek_pelike_iron_age_-550BCE_189,pelike_greek,test,pelike,pelike_NA,greek,-550.0,-500.0
greek_amphora_hellenistic_age_-150BCE_190,amphora_other_greek,test,amphora,amphora_NA,greek,-115.0,-86.0
greek_amphora_hellenistic_age_-150BCE_191,amphora_other_greek,test,amphora,amphora_NA,greek,-150.0,-140.0
greek_amphora_hellenistic_age_-150BCE_192,amphora_other_greek,test,amphora,amphora_NA,greek,-150.0,-86.0
greek_amphora_hellenistic_age_-150BCE_193,amphora_other_greek,test,amphora,amphora_NA,greek,-200.0,-100.0
greek_amphora_hellenistic_age_-150BCE_194,amphora_other_greek,test,amphora,amphora_NA,greek,-130.0,-113.0
greek_amphora_hellenistic_age_-150BCE_195,amphora_other_greek,test,amphora,amphora_NA,greek,-125.0,-86.0
greek_amphora_hellenistic_age_-150BCE_196,amphora_other_greek,test,amphora,amphora_NA,greek,-120.0,-86.0
greek_amphora_hellenistic_age_-150BCE_197,amphora_other_greek,test,amphora,amphora_NA,greek,-120.0,-86.0
greek_amphora_hellenistic_age_-150BCE_198,amphora_other_greek,test,amphora,amphora_NA,greek,-140.0,-110.0
greek_amphora_hellenistic_age_-150BCE_199,panathenaic_greek,test,amphora,amphora_panathenaic,greek,-200.0,-100.0
greek_italiote_pelike_iron_age_-350BCE_200,pelike_ital,test,pelike,pelike_NA,greek_italiote,-400.0,-300.0
greek_italiote_pelike_iron_age_-350BCE_201,pelike_ital,test,pelike,pelike_NA,greek_italiote,-400.0,-300.0
greek_italiote_pelike_iron_age_-350BCE_202,pelike_ital,test,pelike,pelike_NA,greek_italiote,-400.0,-300.0
greek_italiote_pelike_iron_age_-350BCE_203,pelike_ital,test,pelike,pelike_NA,greek_italiote,-400.0,-300.0
greek_italiote_pelike_iron_age_-350BCE_204,pelike_ital,test,pelike,pelike_NA,greek_italiote,-400.0,-300.0
greek_italiote_pelike_iron_age_-350BCE_205,pelike_ital,test,pelike,pelike_NA,greek_italiote,-400.0,-300.0
greek_italiote_pelike_iron_age_-350BCE_206,pelike_ital,test,pelike,pelike_NA,greek_italiote,-360.0,-300.0
greek_italiote_pelike_iron_age_-350BCE_207,pelike_ital,test,pelike,pelike_NA,greek_italiote,-350.0,-320.0
greek_italiote_pelike_iron_age_-350BCE_208,pelike_ital,test,pelike,pelike_NA,greek_italiote,-400.0,-300.0
greek_italiote_pelike_iron_age_-350BCE_209,pelike_ital,test,pelike,pelike_NA,greek_italiote,-400.0,-300.0
greek_loutrophoros_iron_age_-500BCE_210,loutrophoros_greek,test,loutrophoros,loutrophoros_NA,greek,-525.0,-475.0
greek_loutrophoros_iron_age_-500BCE_211,loutrophoros_greek,test,loutrophoros,loutrophoros_NA,greek,-525.0,-475.0
greek_loutrophoros_iron_age_-500BCE_212,loutrophoros_greek,test,loutrophoros,loutrophoros_NA,greek,-500.0,-450.0
greek_loutrophoros_iron_age_-500BCE_213,loutrophoros_greek,test,loutrophoros,loutrophoros_NA,greek,-500.0,-450.0
greek_italiote_amphora_hellenistic_age_-300BCE_214,neck_ital,test,amphora,amphora_neck,greek_italiote,-375.0,-175.0
greek_italiote_amphora_hellenistic_age_-300BCE_215,belly_ital,test,amphora,amphora_belly,greek_italiote,-375.0,-175.0
greek_italiote_amphora_hellenistic_age_-300BCE_216,belly_ital,test,amphora,amphora_belly,greek_italiote,-375.0,-175.0
greek_italiote_amphora_hellenistic_age_-300BCE_217,neck_ital,test,amphora,amphora_neck,greek_italiote,-375.0,-175.0
greek_italiote_amphora_hellenistic_age_-300BCE_218,neck_ital,test,amphora,amphora_neck,greek_italiote,-375.0,-175.0
greek_italiote_amphora_hellenistic_age_-300BCE_219,belly_ital,test,amphora,amphora_belly,greek_italiote,-375.0,-175.0
greek_italiote_amphora_hellenistic_age_-300BCE_220,belly_ital,test,amphora,amphora_belly,greek_italiote,-375.0,-175.0
greek_italiote_amphora_hellenistic_age_-300BCE_221,panathenaic_ital,test,amphora,amphora_panathenaic,greek_italiote,-375.0,-175.0
greek_italiote_amphora_hellenistic_age_-300BCE_222,belly_ital,test,amphora,amphora_belly,greek_italiote,-375.0,-175.0
greek_amphora_hellenistic_age_-200BCE_223,amphora_other_greek,test,amphora,amphora_NA,greek,-175.0,-140.0
greek_amphora_hellenistic_age_-200BCE_224,amphora_other_greek,test,amphora,amphora_NA,greek,-175.0,-140.0
greek_amphora_hellenistic_age_-200BCE_225,neck_greek,test,amphora,amphora_neck,greek,-300.0,-100.0
greek_amphora_hellenistic_age_-200BCE_226,amphora_other_greek,test,amphora,amphora_NA,greek,-200.0,-175.0
greek_amphora_hellenistic_age_-200BCE_227,amphora_other_greek,test,amphora,amphora_NA,greek,-175.0,-175.0
greek_amphora_hellenistic_age_-200BCE_228,amphora_other_greek,test,amphora,amphora_NA,greek,-225.0,-165.0
greek_amphora_hellenistic_age_-200BCE_229,amphora_other_greek,test,amphora,amphora_NA,greek,-210.0,-160.0
greek_amphora_iron_age_-400BCE_230,panathenaic_greek,test,amphora,amphora_panathenaic,greek,-425.0,-375.0
greek_amphora_iron_age_-400BCE_231,neck_greek,test,amphora,amphora_neck,greek,-425.0,-375.0
greek_amphora_iron_age_-400BCE_232,neck_greek,test,amphora,amphora_neck,greek,-425.0,-375.0
greek_amphora_iron_age_-400BCE_233,neck_greek,test,amphora,amphora_neck,greek,-425.0,-375.0
greek_italiote_amphora_hellenistic_age_-350BCE_234,belly_ital,test,amphora,amphora_belly,greek_italiote,-360.0,-270.0
greek_italiote_amphora_hellenistic_age_-350BCE_235,amphora_other_ital,test,amphora,amphora_bail,greek_italiote,-375.0,-325.0
greek_italiote_amphora_hellenistic_age_-350BCE_236,neck_ital,test,amphora,amphora_neck,greek_italiote,-360.0,-270.0
greek_italiote_amphora_hellenistic_age_-350BCE_237,neck_ital,test,amphora,amphora_neck,greek_italiote,-400.0,-300.0
greek_italiote_amphora_hellenistic_age_-350BCE_238,neck_ital,test,amphora,amphora_neck,greek_italiote,-360.0,-270.0
greek_italiote_amphora_hellenistic_age_-350BCE_239,belly_ital,test,amphora,amphora_belly,greek_italiote,-360.0,-270.0
greek_italiote_amphora_hellenistic_age_-350BCE_240,belly_ital,test,amphora,amphora_belly,greek_italiote,-360.0,-270.0
greek_italiote_amphora_hellenistic_age_-350BCE_241,belly_ital,test,amphora,amphora_belly,greek_italiote,-360.0,-270.0
greek_italiote_loutrophoros_iron_age_-400BCE_242,loutrophoros_ital,test,loutrophoros,loutrophoros_NA,greek_italiote,-420.0,-300.0
greek_italiote_loutrophoros_iron_age_-400BCE_243,loutrophoros_ital,test,loutrophoros,loutrophoros_NA,greek_italiote,-420.0,-300.0
greek_italiote_loutrophoros_iron_age_-400BCE_244,loutrophoros_ital,test,loutrophoros,loutrophoros_NA,greek_italiote,-420.0,-300.0
greek_italiote_loutrophoros_iron_age_-400BCE_245,loutrophoros_ital,test,loutrophoros,loutrophoros_NA,greek_italiote,-420.0,-300.0
greek_italiote_loutrophoros_iron_age_-400BCE_246,loutrophoros_ital,test,loutrophoros,loutrophoros_NA,greek_italiote,-420.0,-300.0
greek_italiote_loutrophoros_iron_age_-400BCE_247,loutrophoros_ital,test,loutrophoros,loutrophoros_NA,greek_italiote,-420.0,-300.0
greek_italiote_pelike_hellenistic_age_-250BCE_248,pelike_ital,test,pelike,pelike_NA,greek_italiote,-275.0,-225.0
greek_italiote_pelike_hellenistic_age_-250BCE_249,pelike_ital,test,pelike,pelike_NA,greek_italiote,-275.0,-225.0
greek_italiote_pelike_hellenistic_age_-250BCE_250,pelike_ital,test,pelike,pelike_NA,greek_italiote,-275.0,-225.0
greek_italiote_pelike_hellenistic_age_-250BCE_251,pelike_ital,test,pelike,pelike_NA,greek_italiote,-275.0,-225.0
greek_italiote_pelike_hellenistic_age_-300BCE_252,pelike_ital,test,pelike,pelike_NA,greek_italiote,-375.0,-175.0
greek_italiote_pelike_hellenistic_age_-300BCE_253,pelike_ital,test,pelike,pelike_NA,greek_italiote,-300.0,-250.0
greek_italiote_pelike_hellenistic_age_-300BCE_254,pelike_ital,test,pelike,pelike_NA,greek_italiote,-375.0,-175.0
greek_italiote_pelike_hellenistic_age_-300BCE_255,pelike_ital,test,pelike,pelike_NA,greek_italiote,-375.0,-175.0
greek_italiote_pelike_hellenistic_age_-300BCE_256,pelike_ital,test,pelike,pelike_NA,greek_italiote,-375.0,-175.0
greek_italiote_pelike_hellenistic_age_-300BCE_257,pelike_ital,test,pelike,pelike_NA,greek_italiote,-375.0,-175.0
greek_italiote_pelike_hellenistic_age_-300BCE_258,pelike_ital,test,pelike,pelike_NA,greek_italiote,-375.0,-175.0
greek_italiote_amphora_iron_age_-450BCE_259,neck_ital,test,amphora,amphora_neck,greek_italiote,-462.5,-412.5
greek_italiote_amphora_iron_age_-450BCE_260,amphora_other_ital,test,amphora,amphora_bail,greek_italiote,-475.0,-425.0
greek_italiote_amphora_iron_age_-450BCE_261,neck_ital,test,amphora,amphora_neck,greek_italiote,-475.0,-425.0
greek_italiote_amphora_iron_age_-450BCE_262,amphora_other_ital,test,amphora,amphora_NA,greek_italiote,-433.0,-401.0
greek_italiote_amphora_iron_age_-450BCE_263,amphora_other_ital,test,amphora,amphora_NA,greek_italiote,-450.0,-426.0
greek_italiote_amphora_iron_age_-450BCE_264,amphora_other_ital,test,amphora,amphora_NA,greek_italiote,-460.0,-440.0
greek_italiote_amphora_iron_age_-450BCE_265,panathenaic_ital,test,amphora,amphora_panathenaic,greek_italiote,-450.0,-400.0
greek_italiote_amphora_iron_age_-500BCE_266,neck_ital,test,amphora,amphora_neck,greek_italiote,-500.0,-450.0
greek_italiote_amphora_iron_age_-500BCE_267,neck_ital,test,amphora,amphora_neck,greek_italiote,-500.0,-475.0
greek_italiote_amphora_iron_age_-500BCE_268,neck_ital,test,amphora,amphora_neck,greek_italiote,-500.0,-475.0
greek_italiote_amphora_iron_age_-500BCE_269,amphora_other_ital,test,amphora,amphora_bail,greek_italiote,-500.0,-475.0
greek_amphora_hellenistic_age_-250BCE_270,amphora_other_greek,test,amphora,amphora_NA,greek,-240.0,-230.0
greek_amphora_hellenistic_age_-250BCE_271,amphora_other_greek,test,amphora,amphora_NA,greek,-235.0,-225.0
greek_amphora_hellenistic_age_-250BCE_272,amphora_other_greek,test,amphora,amphora_NA,greek,-250.0,-250.0
greek_amphora_iron_age_-850BCE_273,neck_greek,test,amphora,amphora_neck,greek,-850.0,-800.0
greek_amphora_iron_age_-850BCE_274,amphora_other_greek,test,amphora,amphora_NA,greek,-837.5,-780.0
greek_amphora_iron_age_-700BCE_275,neck_greek,test,amphora,amphora_neck,greek,-725.0,-675.0
greek_amphora_iron_age_-700BCE_276,neck_greek,test,amphora,amphora_neck,greek,-725.0,-675.0
greek_amphora_iron_age_-1050BCE_277,neck_greek,test,amphora,amphora_neck,greek,-1030.0,-1000.0
greek_amphora_iron_age_-1050BCE_278,neck_greek,test,amphora,amphora_neck,greek,-1030.0,-1000.0
greek_amphora_hellenistic_age_-100BCE_279,neck_greek,test,amphora,amphora_neck,greek,-112.5,-80.5
greek_amphora_hellenistic_age_-100BCE_280,neck_greek,test,amphora,amphora_neck,greek,-125.0,-75.0
greek_amphora_hellenistic_age_-100BCE_281,neck_greek,test,amphora,amphora_neck,greek,-125.0,-75.0
greek_loutrophoros_iron_age_-550BCE_282,loutrophoros_greek,test,loutrophoros,loutrophoros_NA,greek,-562.5,-512.5
greek_loutrophoros_iron_age_-550BCE_283,loutrophoros_greek,test,loutrophoros,loutrophoros_NA,greek,-550.0,-500.0
greek_loutrophoros_iron_age_-400BCE_284,loutrophoros_greek,test,loutrophoros,loutrophoros_NA,greek,-425.0,-375.0
greek_loutrophoros_iron_age_-400BCE_285,loutrophoros_greek,test,loutrophoros,loutrophoros_NA,greek,-425.0,-375.0
greek_italiote_amphora_iron_age_-250BCE_286,belly_ital,test,amphora,amphora_belly,greek_italiote,-300.0,-200.0
greek_loutrophoros_iron_age_-600BCE_287,loutrophoros_greek,test,loutrophoros,loutrophoros_NA,greek,-600.0,-550.0
greek_loutrophoros_iron_age_-600BCE_288,loutrophoros_greek,test,loutrophoros,loutrophoros_NA,greek,-600.0,-550.0
greek_amphora_hellenistic_age_-300BCE_289,amphora_other_greek,test,amphora,amphora_NA,greek,-267.5,-250.0
greek_amphora_iron_age_-950BCE_290,amphora_other_greek,test,amphora,amphora_NA,greek,-915.0,-886.0
greek_italiote_loutrophoros_iron_age_-350BCE_291,loutrophoros_ital,test,loutrophoros,loutrophoros_NA,greek_italiote,-400.0,-300.0
greek_italiote_loutrophoros_iron_age_-250BCE_292,loutrophoros_ital,test,loutrophoros,loutrophoros_NA,greek_italiote,-300.0,-200.0
greek_pelike_iron_age_-300BCE_293,pelike_greek,test,pelike,pelike_NA,greek,-325.0,-275.0
greek_amphora_iron_age_-300BCE_294,amphora_other_greek,test,amphora,amphora_NA,greek,-325.0,-260.0
greek_loutrophoros_hellenistic_age_-150BCE_295,loutrophoros_greek,test,loutrophoros,loutrophoros_NA,greek,-200.0,-100.0
greek_loutrophoros_iron_age_-350BCE_296,loutrophoros_greek,test,loutrophoros,loutrophoros_NA,greek,-400.0,-300.0
greek_amphora_iron_age_-900BCE_297,belly_greek,test,amphora,amphora_belly,greek,-900.0,-875.0
